"ID","aveLog2CPM","log2CPM_A","log2CPM_B","FC","log2FC","PValue","adj.PValue"
"ENSG00000103196",6245.63064212024,1634.35294371089,10856.9083405296,6.64293987556835,2.73182185682037,3.63861709872852E-8,3.52945858576666E-6
"ENSG00000103257",824.346362511731,1141.70562628863,506.987098734829,0.444061137180258,-1.1711697781436,5.94610102128657E-6,2.88385899532398E-4
"ENSG00000154102",137.105322511952,182.514816292081,91.6958287318224,0.502402109563973,-0.993085572833196,5.06510939219398E-4,0.0163771870347606
"ENSG00000103175",503.596531128767,230.544883499245,776.648178758289,3.36875044446967,1.75221355821294,9.63197442591661E-4,0.0205201473209409
"ENSG00000103150",335.542664097102,246.132944115214,424.952384078989,1.72651566659061,0.787863425422134,0.00105773955262582,0.0205201473209409
"ENSG00000166473",285.000955544061,406.388717836696,163.613193251426,0.402602695572795,-1.31257126322303,0.00142427828905805,0.0230258323397718
"ENSG00000204991",206.439838725126,257.477835740165,155.401841710088,0.603554248711772,-0.728444645646815,0.00319283200369567,0.0433309359024927
"ENSG00000258947",50.0177787775488,70.1401086075483,29.8954489475493,0.426224731341976,-1.23031378813639,0.00357368543525713,0.0433309359024927
"ENSG00000197943",43.0562311470957,20.1826669762792,65.9297953179122,3.266654272966,1.70781377492575,0.0143135422346766,0.154268177418181
"ENSG00000103187",4344.05811728899,3756.08485167782,4932.03138290016,1.31307773324052,0.39295232524914,0.0204860542693463,0.198714726412659
"ENSG00000260630",65.0149687324233,82.8070526984454,47.2228847664013,0.570276120542179,-0.810267471607506,0.0413103526347161,0.364282200506133
"ENSG00000131148",754.150909662865,647.700653799889,860.601165525841,1.32870201763256,0.410017593789529,0.0511944946399827,0.397344391503798
"ENSG00000187741",106.628108352885,126.264152681254,86.9920640245161,0.688968817967854,-0.537489405399218,0.053252341129375,0.397344391503798
"ENSG00000172530",394.049566233544,456.90649936134,331.192633105748,0.724858660510818,-0.464228382047953,0.0622836828349174,0.423188138189614
"ENSG00000261609",344.476024876258,289.868191549302,399.083858203214,1.37677699671071,0.461294898039404,0.0665624834117228,0.423188138189614
"ENSG00000180422",26.9292507178623,18.5873123397845,35.27118909594,1.89759489974487,0.924172037402398,0.0698042289797302,0.423188138189614
"ENSG00000176692",41.6592058750175,32.0463727720281,51.2720389780068,1.59993267702234,0.67801119975673,0.086597424566057,0.49411471664162
"ENSG00000166455",18.6234558290364,26.1073616755564,11.1395499825165,0.426682332782256,-1.22876571937319,0.0953589894413615,0.513878998656226
"ENSG00000103248",557.095473872615,625.846262278498,488.344685466732,0.780294962038811,-0.357908509591296,0.106603591655059,0.540727403719242
"ENSG00000260279",34.1438964936595,43.0396710586705,25.2481219286485,0.58662441667435,-0.769490974215441,0.113654228220718,0.540727403719242
"ENSG00000158792",206.06595717297,177.423990052967,234.707924292972,1.32286464881612,0.403665457330013,0.117064695650558,0.540727403719242
"ENSG00000135686",3247.98019076072,2909.91172521057,3586.04865631087,1.23235650938908,0.301419674802616,0.127695716427759,0.549337211834547
"ENSG00000261373",40.3607336846893,33.0000318711228,47.7214354982557,1.4461027093739,0.532170023272488,0.130311438580122,0.549337211834547
"ENSG00000166446",246.687142131706,185.052992520343,308.321291743069,1.6661243222488,0.736496055205248,0.135918485402362,0.549337211834547
"ENSG00000140950",886.921013089496,797.086473604508,976.755552574484,1.22540726121909,0.293261305223161,0.14281186391245,0.554110031980305
"ENSG00000051523",1308.65354436056,1177.50855255417,1439.79853616696,1.22274996053646,0.29012941811357,0.160213785111474,0.597720659838962
"ENSG00000166451",146.742584155522,126.296576571527,167.188591739517,1.32377770069508,0.404660873631997,0.168679615888416,0.605997138562088
"ENSG00000270058",49.9199015306263,60.8014832647597,39.038319796493,0.642061964615252,-0.639215558086131,0.184419458084607,0.628957656342373
"ENSG00000179588",181.074425451519,202.972744999343,159.176105903696,0.78422403906599,-0.35066222897045,0.18803888694772,0.628957656342373
"ENSG00000260456",20.7225347467219,15.4470928733981,25.9979766200457,1.68303361889004,0.751063995040719,0.21612173315286,0.674068749782978
"ENSG00000140945",1380.40764450229,1213.29986223531,1547.51542676926,1.27545998721059,0.3510176404862,0.218034330358889,0.674068749782978
"ENSG00000103194",1802.84301836014,1648.61109428523,1957.07494243505,1.18710528469636,0.247447893676852,0.222373195804694,0.674068749782978
"ENSG00000176678",1002.02549156481,929.278332875004,1074.77265025462,1.15656699638039,0.209848839295519,0.245654705135708,0.722075951459507
"ENSG00000131165",2908.16155487627,2670.24299656838,3146.08011318415,1.17819993057834,0.236584373106985,0.261851357036575,0.746176405717429
"ENSG00000166454",3189.22504998516,3384.26723274895,2994.18286722136,0.884735944681669,-0.176681157365562,0.272535093379041,0.746176405717429
"ENSG00000167515",1338.30981092231,1423.42888690202,1253.19073494261,0.880402770011277,-0.183764410499276,0.280217298511301,0.746176405717429
"ENSG00000153815",832.675252433523,900.300459797297,765.050045069748,0.849771914191846,-0.234852432956258,0.284623989809741,0.746176405717429
"ENSG00000198931",1602.32924400255,1491.97504479567,1712.68344320943,1.14793035525872,0.199035116603547,0.30627814356778,0.759289704551964
"ENSG00000103241",3228.50728605251,3050.96081847804,3406.05375362699,1.11638724856719,0.158837551073457,0.31196812733429,0.759289704551964
"ENSG00000258839",111.013456957117,92.5279679409333,129.4989459733,1.39956543794377,0.484978942995068,0.315686259129263,0.759289704551964
"ENSG00000268388",2822.34748606942,3196.98389708875,2447.71107505009,0.765631343116566,-0.385278203368996,0.326438873730585,0.759289704551964
