row ID	ID	aveLog2CPM	log2CPM_A	log2CPM_B	FC	log2FC	PValue	adj.PValue
1	ENST00000569262	287.061136084419	83.426452702571	490.695819466268	5.88177734483904	2.55625217192024	3.63544730897794E-11	1.8795262587416E-8
2	ENST00000563066	187.821414483327	41.1010213475676	334.541807619087	8.13950107930555	3.02494036544098	1.35091855385929E-10	3.49212446172627E-8
3	ENST00000566431	167.765175828106	51.3558155925928	284.17453606362	5.53344412477031	2.46817772188115	4.62781674042794E-9	5.39971553154451E-7
4	ENST00000565561	60.0105774704638	15.8741812011488	104.146973739779	6.56077768170124	2.71386683481829	4.65506303780067E-9	5.39971553154451E-7
5	ENST00000564567	380.28667655167	107.785357426336	652.787995677005	6.05636991205545	2.59845332520307	5.22216202277032E-9	5.39971553154451E-7
6	ENST00000567845	809.593235109345	242.278373605339	1376.90809661335	5.68316550967224	2.50669473131505	3.45032761360836E-8	2.60346643411038E-6
7	ENST00000566789	76.0383832956969	20.9135328836444	131.163233707749	6.27169184840725	2.64885467621075	3.52500290885351E-8	2.60346643411038E-6
8	ENST00000262424	3903.6205538396	1025.31522167886	6781.92588600033	6.61447888669355	2.72562750008713	1.86908268048774E-7	1.2078946822652E-5
9	ENST00000261622	457.143261704952	639.323422353198	274.963101056706	0.43008451034788	-1.21730792186267	2.5130445513534E-7	1.44360448116634E-5
10	ENST00000527937	56.3217855314735	82.8735410364239	29.7700300265232	0.359222372475178	-1.47705089053806	3.71457502099337E-7	1.92043528585357E-5
11	ENST00000569090	91.7693951161848	27.1771701539792	156.36162007839	5.75341800461503	2.52441929053812	2.57770580517259E-6	1.21152172843112E-4
12	ENST00000565644	366.083587619554	516.463087902886	215.704087336222	0.417656348321223	-1.2596117279042	2.54351333607074E-5	0.00109583032895714
13	ENST00000567056	121.343603071767	54.1635747874127	188.523631356122	3.48063494878358	1.79935051121852	2.32260179408571E-4	0.00923680867340241
14	ENST00000262430	221.497574211436	162.606889481358	280.388258941513	1.72433197532912	0.786037554620982	4.37100017256436E-4	0.0161414792086841
15	ENST00000531391	20.8337867250289	29.9398781469754	11.7276953030824	0.391708184165309	-1.3521488232968	6.43481337940398E-4	0.0221786567810124
16	ENST00000565212	18.4471957436576	10.4556177508459	26.4387737364692	2.52866682452409	1.33837696097431	0.00162415285487305	0.0524804391230855
17	ENST00000554444	22.7843554206188	34.3776275239463	11.1910833172914	0.325533904557435	-1.61912028609068	0.00195346663134541	0.0594083675532693
18	ENST00000602914	18.9806177340016	27.9039512925493	10.0572841754538	0.360425090698149	-1.4722286482037	0.00228113358932092	0.0655192258710508
19	ENST00000602583	28.6609536060639	39.0899380985435	18.2319691135844	0.466410795218521	-1.10032691435069	0.00241645892769666	0.0657531192431144
20	ENST00000556922	35.2913172422503	46.3989680616933	24.1836664228073	0.521211299153292	-0.940059734972632	0.00263315942687771	0.0680671711847888
21	ENST00000393062	28.121089942431	38.2777481462828	17.9644317385792	0.469317883328091	-1.09136265967101	0.00293394316693038	0.0722308865382385
22	ENST00000602766	20.19711316277	29.3601428386684	11.0340834868716	0.375818453864581	-1.41189218553955	0.00462976763322104	0.108799539380694
23	ENST00000219454	218.34939517627	104.861894802497	331.836895550043	3.16451363171574	1.66198378242416	0.00534864348707996	0.120228203600884
24	ENST00000568638	151.181542190387	71.2853810204576	231.077703360316	3.24158614364424	1.69669991237778	0.00643204292935554	0.138556924769867
25	ENST00000569024	151.703139937776	120.279165882352	183.127113993199	1.52251732583779	0.606458645706669	0.00906955873871535	0.187558474716633
26	ENST00000533478	38.2686429768023	56.3269882515771	20.2102977020274	0.358803094739608	-1.47873576107882	0.00963341196523784	0.191556691770306
27	ENST00000389301	45.1518284992994	56.620059743635	33.6835972549639	0.594905717293074	-0.749267051629316	0.0110888456996672	0.212330860249182
28	ENST00000322911	116.824428410447	141.793227082169	91.8556297387263	0.647813944494657	-0.626348571742273	0.0134129185988632	0.247659961271867
29	ENST00000446326	37.5461079774014	28.4028119827327	46.6894039720701	1.64383033625173	0.717061402620797	0.0175771245368442	0.313184710160251
30	ENST00000299598	41.2280567774682	62.2671301329859	20.1889834219504	0.324231795793898	-1.6249025191926	0.0181731940131674	0.313184710160251
31	ENST00000304984	16.5803861180486	22.9352259981781	10.2255462379191	0.445844581550292	-1.16538721098206	0.0217026437597116	0.349838715142084
32	ENST00000567278	1067.22710465894	921.180641001999	1213.27356831589	1.31708539488647	0.397348887572612	0.0218545291126276	0.349838715142084
33	ENST00000561707	319.882687199608	272.924034254925	366.841340144292	1.34411518994931	0.426656781604392	0.0223301307537501	0.349838715142084
34	ENST00000563489	36.8842918233227	51.2758607073825	22.4927229392629	0.438661050813419	-1.18882148128818	0.0245521799386178	0.359170383878222
35	ENST00000284245	31.1149683563263	39.5898047718823	22.6401319407703	0.57186773390835	-0.806246587219253	0.0247945209846855	0.359170383878222
36	ENST00000565237	33.2302514407173	43.0162503535247	23.4442525279099	0.545009207804858	-0.875647490791946	0.0250099300185996	0.359170383878222
37	ENST00000569108	34.6332835566751	44.1997600655412	25.066807047809	0.567125409971433	-0.81826029739569	0.026332421149439	0.360048397652847
38	ENST00000507205	57.174523036123	68.2962825490114	46.0527635232346	0.674308495344323	-0.56851932116632	0.0271531736729171	0.360048397652847
39	ENST00000538234	49.4253293932151	61.4657361055397	37.3849226808905	0.608223785308594	-0.717325859124073	0.0271603240008917	0.360048397652847
40	ENST00000525539	33.2427379683354	48.5195445009851	17.9659314356858	0.370282359829678	-1.43330227341572	0.0282768394921485	0.365478150436019
